City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
193,Mastic Beach,US,75.4,clear sky,40.7668,-72.8521,Brushwood House by Smith Point Beach
194,Katsuura,JP,76.55,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
195,Lucea,JM,84.06,overcast clouds,18.451,-78.1736,Grand Palladium Jamaica Resort & Spa
196,Ranong,TH,78.73,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
201,Xuanhua,CN,75.36,clear sky,40.6103,115.0447,Jinjiang Inn Zhangjiakou Xuanhua People's Park
202,Maningrida,AU,75.36,scattered clouds,-12.0667,134.2667,Dhukurrdji Lodge
206,Santa Isabel Do Rio Negro,BR,73.26,overcast clouds,-0.4139,-65.0192,Hotel GSA
208,Port-Gentil,GA,72.39,few clouds,-0.7193,8.7815,Fengshui Residence
210,Alta Floresta,BR,79.57,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
212,Baracoa,CU,79.16,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
213,Mweka,CD,65.89,few clouds,-4.85,21.5667,Guest House Boshab
214,Tocopilla,CL,63.37,overcast clouds,-22.092,-70.1979,Hotel Galvarino
215,San Sebastian,ES,68.65,clear sky,43.3128,-1.975,Hotel de Londres y de Inglaterra
217,Senhor Do Bonfim,BR,66.76,overcast clouds,-10.4614,-40.1894,Hotel Soul
219,Ponta Do Sol,PT,72.12,clear sky,32.6667,-17.1,Hotel do Campo
221,Zonguldak,TR,61.65,overcast clouds,41.25,31.8333,Yazioren Koyu Muhtarligi
223,Muros,ES,70.16,overcast clouds,42.7762,-9.0603,Apartment Av. Castelao
224,Nome,US,73.17,clear sky,64.5011,-165.4064,Dredge 7 Inn
225,Ulaangom,MN,65.41,light rain,49.9811,92.0667,Achit Nuur Hotel & Restaurant
227,Moba,CN,69.13,overcast clouds,33.2288,105.0179,Xinlong Hotel
228,Itaituba,BR,76.01,broken clouds,-4.2761,-55.9836,Hotel Campos
229,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
235,Khash,IR,77.86,overcast clouds,28.2211,61.2158,خوابگاه آبجی محدثه
236,Bongaree,AU,65.21,clear sky,-27.0797,153.1586,The Gums Anchorage
237,Jiangyou,CN,84.18,few clouds,31.7667,104.7167,Shangping Shuyuan Inn
238,Havelock,US,84.94,clear sky,34.8791,-76.9013,Sherwood Motel
239,Vila Velha,BR,66.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
240,Beira,MZ,62.69,clear sky,-19.8436,34.8389,Beira Terrace Hotel
242,Oistins,BB,82.49,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
244,Ironton,US,74.82,scattered clouds,38.5368,-82.6829,Best Western River Cities
246,San Quintin,MX,70.68,few clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
247,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
248,Moa,CU,80.33,overcast clouds,20.6569,-74.9403,Carmen
249,El Pueblito,MX,74.39,scattered clouds,20.5333,-100.45,Capital O Villa Bonita
250,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
251,Katherine,AU,66.52,clear sky,-14.4667,132.2667,Pine Tree Motel
252,Korla,CN,82.78,scattered clouds,41.7597,86.1469,Gulisitan Hotel
254,Sorong,ID,81.46,few clouds,-0.8833,131.25,Waigo Splash Hotel
255,Cidreira,BR,62.26,scattered clouds,-30.1811,-50.2056,Hotel Castelo
257,Castro Alves,BR,64.38,clear sky,-12.7656,-39.4283,Hotel e Restaurante do Poeta
258,Pemba,MZ,71.29,light rain,-12.974,40.5178,Guesthouse Samotina
259,Grand Gaube,MU,66.6,few clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
260,Paka,MY,76.98,light rain,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
261,Plainview,US,77.47,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
262,Kudahuvadhoo,MV,82.29,moderate rain,2.6708,72.8944,Niyama Private Islands Maldives
263,Vila Franca Do Campo,PT,67.19,clear sky,37.7167,-25.4333,Pestana Bahia Praia
264,Mendi,PG,67.46,broken clouds,-6.1761,143.6513,Kiburu Lodge
267,Nisia Floresta,BR,75.58,scattered clouds,-6.0911,-35.2086,Rancho Crepusculo
268,Latur,IN,70.48,overcast clouds,18.4,76.5833,Hotel Shivneri Durvankur Lodge
269,Saint-Philippe,RE,65.79,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
270,Kirakira,SB,84.22,few clouds,-10.4544,161.9205,SanBiz Lodge
271,Beaufort,MY,81.09,broken clouds,5.3473,115.7455,The Gem Hotel Beaufort
272,Fort-Shevchenko,KZ,78.01,clear sky,44.5086,50.263,Oasis hotel Bautino
273,Abatskoye,RU,64.85,broken clouds,56.2875,70.4555,Gostinitsa Abatskaya
276,Charlottesville,US,70.45,overcast clouds,38.0293,-78.4767,Hilton Garden Inn Charlottesville
277,Kathmandu,NP,71.82,broken clouds,27.7167,85.3167,Hotel Shanker Kathmandu
279,Kiunga,PG,79.84,overcast clouds,-6.1219,141.2906,Airport Lodge Kiunga
280,Sozopol,BG,73.74,overcast clouds,42.4167,27.7,Villa List
281,Jorochito,BO,79.0,scattered clouds,-18.05,-63.4333,Tom´s Hauss
282,Ambon,ID,77.14,light rain,-3.6954,128.1814,Swiss-Belhotel Ambon
283,Sulangan,PH,82.89,overcast clouds,11.1373,123.7228,Maia's Beach Resort
285,Warrington,GB,61.52,scattered clouds,53.3925,-2.5802,Villaggio Hotel
286,Bundaberg,AU,64.22,clear sky,-24.85,152.35,Takalvan Motel
287,Lidice,PA,79.7,overcast clouds,8.75,-79.9,unidad 109
288,High Level,CA,71.71,broken clouds,58.5169,-117.136,Days Inn by Wyndham High Level
289,That Phanom,TH,78.82,overcast clouds,16.9364,104.7104,ณ ธาตุพนมเพลส Na That Panom Place Hotel
290,Ca Mau,VN,78.51,overcast clouds,9.1769,105.15,Mường Thanh Luxury Cà Mau Hotel
291,Cocobeach,GA,74.41,overcast clouds,1.0002,9.5823,Hotel Esperance
292,Teahupoo,PF,78.76,broken clouds,-17.8333,-149.2667,Vanira Lodge
293,Mattru,SL,72.99,moderate rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
295,Oranjestad,AW,82.35,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
297,Boa Vista,BR,82.38,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
298,Erenhot,CN,77.94,clear sky,43.6475,111.9767,Erenhot Rurouni Youth Hostel
299,Ratnagiri,IN,79.56,moderate rain,16.9833,73.3,Hotel Landmark
302,Qianguo,CN,80.56,scattered clouds,45.1171,124.8568,Guo'er Luosi Hotel
303,Ust-Kulom,RU,62.71,overcast clouds,61.6864,53.6902,Ip Napalkov Vasiliy Dmitriyevich
305,Harper,LR,75.99,overcast clouds,4.375,-7.7169,Screensaver
